"training/epoch","plonk_local_fm_r2_image_only_aug_aggressive_seed42 - training/flow_loss","plonk_local_fm_r2_image_only_aug_aggressive_seed42 - training/flow_loss__MIN","plonk_local_fm_r2_image_only_aug_aggressive_seed42 - training/flow_loss__MAX","plonk_local_fm_r2_image_only_aug_aggressive_seed42 - _step","plonk_local_fm_r2_image_only_aug_aggressive_seed42 - _step__MIN","plonk_local_fm_r2_image_only_aug_aggressive_seed42 - _step__MAX","plonk_local_fm_r2_image_only_aug_moderate_seed42 - training/flow_loss","plonk_local_fm_r2_image_only_aug_moderate_seed42 - training/flow_loss__MIN","plonk_local_fm_r2_image_only_aug_moderate_seed42 - training/flow_loss__MAX","plonk_local_fm_r2_image_only_aug_moderate_seed42 - _step","plonk_local_fm_r2_image_only_aug_moderate_seed42 - _step__MIN","plonk_local_fm_r2_image_only_aug_moderate_seed42 - _step__MAX","plonk_local_fm_r2_image_only_aug_conservative_views8_seed42 - training/flow_loss","plonk_local_fm_r2_image_only_aug_conservative_views8_seed42 - training/flow_loss__MIN","plonk_local_fm_r2_image_only_aug_conservative_views8_seed42 - training/flow_loss__MAX","plonk_local_fm_r2_image_only_aug_conservative_views8_seed42 - _step","plonk_local_fm_r2_image_only_aug_conservative_views8_seed42 - _step__MIN","plonk_local_fm_r2_image_only_aug_conservative_views8_seed42 - _step__MAX"
"1","0.3021826146305086","0.3021826146305086","0.3021826146305086","6","6","6","0.29949232113084867","0.29949232113084867","0.29949232113084867","6","6","6","0.2979295246309728","0.2979295246309728","0.2979295246309728","6","6","6"
"2","0.2783996638286124","0.2783996638286124","0.2783996638286124","7","7","7","0.27528968720591357","0.27528968720591357","0.27528968720591357","7","7","7","0.2730558852629402","0.2730558852629402","0.2730558852629402","7","7","7"
"3","0.2708938667728473","0.2708938667728473","0.2708938667728473","8","8","8","0.26547538976282226","0.26547538976282226","0.26547538976282226","8","8","8","0.2620563428652914","0.2620563428652914","0.2620563428652914","8","8","8"
"4","0.2595353232734869","0.2595353232734869","0.2595353232734869","9","9","9","0.253533269083468","0.253533269083468","0.253533269083468","9","9","9","0.249231351807009","0.249231351807009","0.249231351807009","9","9","9"
"5","0.2524030831086646","0.2524030831086646","0.2524030831086646","10","10","10","0.24571302260648556","0.24571302260648556","0.24571302260648556","10","10","10","0.24001293897256587","0.24001293897256587","0.24001293897256587","10","10","10"
"6","0.24564882331294316","0.24564882331294316","0.24564882331294316","11","11","11","0.23970843609638454","0.23970843609638454","0.23970843609638454","11","11","11","0.23176471028978754","0.23176471028978754","0.23176471028978754","11","11","11"
"7","0.23754238181088674","0.23754238181088674","0.23754238181088674","12","12","12","0.23065323707623528","0.23065323707623528","0.23065323707623528","12","12","12","0.2224145623108407","0.2224145623108407","0.2224145623108407","12","12","12"
"8","0.2322799563407898","0.2322799563407898","0.2322799563407898","13","13","13","0.22446793821589633","0.22446793821589633","0.22446793821589633","13","13","13","0.2163008916043044","0.2163008916043044","0.2163008916043044","13","13","13"
"9","0.22589411491479966","0.22589411491479966","0.22589411491479966","14","14","14","0.21800271273456867","0.21800271273456867","0.21800271273456867","14","14","14","0.20944455371011483","0.20944455371011483","0.20944455371011483","14","14","14"
"10","0.21943066042518106","0.21943066042518106","0.21943066042518106","15","15","15","0.21088664841162744","0.21088664841162744","0.21088664841162744","15","15","15","0.2021169429719714","0.2021169429719714","0.2021169429719714","15","15","15"
"11","0.21281125718839033","0.21281125718839033","0.21281125718839033","16","16","16","0.20366986986518865","0.20366986986518865","0.20366986986518865","16","16","16","0.19497661134369346","0.19497661134369346","0.19497661134369346","16","16","16"
"12","0.2083814243032505","0.2083814243032505","0.2083814243032505","17","17","17","0.19804581660813886","0.19804581660813886","0.19804581660813886","17","17","17","0.18906220081233213","0.18906220081233213","0.18906220081233213","17","17","17"
"13","0.2031396462463248","0.2031396462463248","0.2031396462463248","18","18","18","0.19324677919405683","0.19324677919405683","0.19324677919405683","18","18","18","0.1839580988107676","0.1839580988107676","0.1839580988107676","18","18","18"
"14","0.20281486852588024","0.20281486852588024","0.20281486852588024","19","19","19","0.19215455684515115","0.19215455684515115","0.19215455684515115","19","19","19","0.18311136542261977","0.18311136542261977","0.18311136542261977","19","19","19"
"15","0.20100220932852042","0.20100220932852042","0.20100220932852042","20","20","20","0.1900759544439554","0.1900759544439554","0.1900759544439554","20","20","20","0.18052007641433926","0.18052007641433926","0.18052007641433926","20","20","20"