"validation/epoch","plonk_local_fm_r2_image_only_aug_aggressive_seed42 - validation/mode_median_distance_km","plonk_local_fm_r2_image_only_aug_aggressive_seed42 - validation/mode_median_distance_km__MIN","plonk_local_fm_r2_image_only_aug_aggressive_seed42 - validation/mode_median_distance_km__MAX","plonk_local_fm_r2_image_only_aug_aggressive_seed42 - _step","plonk_local_fm_r2_image_only_aug_aggressive_seed42 - _step__MIN","plonk_local_fm_r2_image_only_aug_aggressive_seed42 - _step__MAX","plonk_local_fm_r2_image_only_aug_moderate_seed42 - validation/mode_median_distance_km","plonk_local_fm_r2_image_only_aug_moderate_seed42 - validation/mode_median_distance_km__MIN","plonk_local_fm_r2_image_only_aug_moderate_seed42 - validation/mode_median_distance_km__MAX","plonk_local_fm_r2_image_only_aug_moderate_seed42 - _step","plonk_local_fm_r2_image_only_aug_moderate_seed42 - _step__MIN","plonk_local_fm_r2_image_only_aug_moderate_seed42 - _step__MAX","plonk_local_fm_r2_image_only_aug_conservative_views8_seed42 - validation/mode_median_distance_km","plonk_local_fm_r2_image_only_aug_conservative_views8_seed42 - validation/mode_median_distance_km__MIN","plonk_local_fm_r2_image_only_aug_conservative_views8_seed42 - validation/mode_median_distance_km__MAX","plonk_local_fm_r2_image_only_aug_conservative_views8_seed42 - _step","plonk_local_fm_r2_image_only_aug_conservative_views8_seed42 - _step__MIN","plonk_local_fm_r2_image_only_aug_conservative_views8_seed42 - _step__MAX"
"1","48.80867004394531","48.80867004394531","48.80867004394531","6","6","6","48.820125579833984","48.820125579833984","48.820125579833984","6","6","6","46.12010192871094","46.12010192871094","46.12010192871094","6","6","6"
"2","56.84315872192383","56.84315872192383","56.84315872192383","7","7","7","59.23572540283203","59.23572540283203","59.23572540283203","7","7","7","63.16412353515625","63.16412353515625","63.16412353515625","7","7","7"
"3","48.617549896240234","48.617549896240234","48.617549896240234","8","8","8","51.16713333129883","51.16713333129883","51.16713333129883","8","8","8","47.40480041503906","47.40480041503906","47.40480041503906","8","8","8"
"4","41.70124053955078","41.70124053955078","41.70124053955078","9","9","9","43.613040924072266","43.613040924072266","43.613040924072266","9","9","9","40.51273727416992","40.51273727416992","40.51273727416992","9","9","9"
"5","38.243255615234375","38.243255615234375","38.243255615234375","10","10","10","35.61332321166992","35.61332321166992","35.61332321166992","10","10","10","33.28135681152344","33.28135681152344","33.28135681152344","10","10","10"
"6","34.57754898071289","34.57754898071289","34.57754898071289","11","11","11","37.10182571411133","37.10182571411133","37.10182571411133","11","11","11","30.543682098388672","30.543682098388672","30.543682098388672","11","11","11"
"7","31.035951614379883","31.035951614379883","31.035951614379883","12","12","12","30.832727432250977","30.832727432250977","30.832727432250977","12","12","12","26.903104782104492","26.903104782104492","26.903104782104492","12","12","12"
"8","28.26388168334961","28.26388168334961","28.26388168334961","13","13","13","23.596879959106445","23.596879959106445","23.596879959106445","13","13","13","24.157739639282227","24.157739639282227","24.157739639282227","13","13","13"
"9","25.656978607177734","25.656978607177734","25.656978607177734","14","14","14","23.057357788085938","23.057357788085938","23.057357788085938","14","14","14","21.321107864379883","21.321107864379883","21.321107864379883","14","14","14"
"10","23.367334365844727","23.367334365844727","23.367334365844727","15","15","15","20.29836654663086","20.29836654663086","20.29836654663086","15","15","15","19.015979766845703","19.015979766845703","19.015979766845703","15","15","15"
"11","22.054359436035156","22.054359436035156","22.054359436035156","16","16","16","18.486791610717773","18.486791610717773","18.486791610717773","16","16","16","16.468326568603516","16.468326568603516","16.468326568603516","16","16","16"
"12","20.240966796875","20.240966796875","20.240966796875","17","17","17","17.636472702026367","17.636472702026367","17.636472702026367","17","17","17","15.6207275390625","15.6207275390625","15.6207275390625","17","17","17"
"13","19.037322998046875","19.037322998046875","19.037322998046875","18","18","18","16.743480682373047","16.743480682373047","16.743480682373047","18","18","18","14.820291519165039","14.820291519165039","14.820291519165039","18","18","18"
"14","18.457740783691406","18.457740783691406","18.457740783691406","19","19","19","16.205463409423828","16.205463409423828","16.205463409423828","19","19","19","14.418506622314453","14.418506622314453","14.418506622314453","19","19","19"
"15","17.89180564880371","17.89180564880371","17.89180564880371","20","20","20","15.835441589355469","15.835441589355469","15.835441589355469","20","20","20","14.291175842285156","14.291175842285156","14.291175842285156","20","20","20"