"training/epoch","plonk_local_fm_r2_image_only_aug_conservative_views8_seed42 - training/flow_loss","plonk_local_fm_r2_image_only_aug_conservative_views8_seed42 - training/flow_loss__MIN","plonk_local_fm_r2_image_only_aug_conservative_views8_seed42 - training/flow_loss__MAX","plonk_local_fm_r2_image_only_aug_conservative_views8_seed42 - _step","plonk_local_fm_r2_image_only_aug_conservative_views8_seed42 - _step__MIN","plonk_local_fm_r2_image_only_aug_conservative_views8_seed42 - _step__MAX","plonk_local_fm_r2_image_only_aug_conservative_views4_seed42 - training/flow_loss","plonk_local_fm_r2_image_only_aug_conservative_views4_seed42 - training/flow_loss__MIN","plonk_local_fm_r2_image_only_aug_conservative_views4_seed42 - training/flow_loss__MAX","plonk_local_fm_r2_image_only_aug_conservative_views4_seed42 - _step","plonk_local_fm_r2_image_only_aug_conservative_views4_seed42 - _step__MIN","plonk_local_fm_r2_image_only_aug_conservative_views4_seed42 - _step__MAX","plonk_local_fm_r2_image_only_aug_conservative_views2_seed42 - training/flow_loss","plonk_local_fm_r2_image_only_aug_conservative_views2_seed42 - training/flow_loss__MIN","plonk_local_fm_r2_image_only_aug_conservative_views2_seed42 - training/flow_loss__MAX","plonk_local_fm_r2_image_only_aug_conservative_views2_seed42 - _step","plonk_local_fm_r2_image_only_aug_conservative_views2_seed42 - _step__MIN","plonk_local_fm_r2_image_only_aug_conservative_views2_seed42 - _step__MAX","plonk_local_fm_r2_image_only_aug_conservative_views1_seed42 - training/flow_loss","plonk_local_fm_r2_image_only_aug_conservative_views1_seed42 - training/flow_loss__MIN","plonk_local_fm_r2_image_only_aug_conservative_views1_seed42 - training/flow_loss__MAX","plonk_local_fm_r2_image_only_aug_conservative_views1_seed42 - _step","plonk_local_fm_r2_image_only_aug_conservative_views1_seed42 - _step__MIN","plonk_local_fm_r2_image_only_aug_conservative_views1_seed42 - _step__MAX","plonk_local_fm_r2_image_only_aug_conservative_views0_seed42 - training/flow_loss","plonk_local_fm_r2_image_only_aug_conservative_views0_seed42 - training/flow_loss__MIN","plonk_local_fm_r2_image_only_aug_conservative_views0_seed42 - training/flow_loss__MAX","plonk_local_fm_r2_image_only_aug_conservative_views0_seed42 - _step","plonk_local_fm_r2_image_only_aug_conservative_views0_seed42 - _step__MIN","plonk_local_fm_r2_image_only_aug_conservative_views0_seed42 - _step__MAX"
"1","0.2979295246309728","0.2979295246309728","0.2979295246309728","6","6","6","0.3089324606890472","0.3089324606890472","0.3089324606890472","6","6","6","0.3173544346728427","0.3173544346728427","0.3173544346728427","5","5","5","0.3212557913189432","0.3212557913189432","0.3212557913189432","6","6","6","0.3423938376903534","0.3423938376903534","0.3423938376903534","6","6","6"
"2","0.2730558852629402","0.2730558852629402","0.2730558852629402","7","7","7","0.2803179041436166","0.2803179041436166","0.2803179041436166","7","7","7","0.29127994319175016","0.29127994319175016","0.29127994319175016","6","6","6","0.29579933251003665","0.29579933251003665","0.29579933251003665","7","7","7","0.31215051472187044","0.31215051472187044","0.31215051472187044","7","7","7"
"3","0.2620563428652914","0.2620563428652914","0.2620563428652914","8","8","8","0.2662885921198522","0.2662885921198522","0.2662885921198522","8","8","8","0.27290607478848117","0.27290607478848117","0.27290607478848117","7","7","7","0.2815448299469239","0.2815448299469239","0.2815448299469239","8","8","8","0.29198343491554263","0.29198343491554263","0.29198343491554263","8","8","8"
"4","0.249231351807009","0.249231351807009","0.249231351807009","9","9","9","0.2585532185449646","0.2585532185449646","0.2585532185449646","9","9","9","0.2656193032143588","0.2656193032143588","0.2656193032143588","8","8","8","0.2751005758123704","0.2751005758123704","0.2751005758123704","9","9","9","0.28227166175842283","0.28227166175842283","0.28227166175842283","9","9","9"
"5","0.24001293897256587","0.24001293897256587","0.24001293897256587","10","10","10","0.25456897347543633","0.25456897347543633","0.25456897347543633","10","10","10","0.26123416379970665","0.26123416379970665","0.26123416379970665","9","9","9","0.2678686847768155","0.2678686847768155","0.2678686847768155","10","10","10","0.27810600769519805","0.27810600769519805","0.27810600769519805","10","10","10"
"6","0.23176471028978754","0.23176471028978754","0.23176471028978754","11","11","11","0.24638759152273113","0.24638759152273113","0.24638759152273113","11","11","11","0.253376269085522","0.253376269085522","0.253376269085522","10","10","10","0.2656913820998257","0.2656913820998257","0.2656913820998257","11","11","11","0.27581211733818056","0.27581211733818056","0.27581211733818056","11","11","11"
"7","0.2224145623108407","0.2224145623108407","0.2224145623108407","12","12","12","0.23894384472270647","0.23894384472270647","0.23894384472270647","12","12","12","0.25247098342142005","0.25247098342142005","0.25247098342142005","11","11","11","0.2591729504037574","0.2591729504037574","0.2591729504037574","12","12","12","0.2682140361070633","0.2682140361070633","0.2682140361070633","12","12","12"
"8","0.2163008916043044","0.2163008916043044","0.2163008916043044","13","13","13","0.2323874064615029","0.2323874064615029","0.2323874064615029","13","13","13","0.24778709907263996","0.24778709907263996","0.24778709907263996","12","12","12","0.25496135442611206","0.25496135442611206","0.25496135442611206","13","13","13","0.25986039054393767","0.25986039054393767","0.25986039054393767","13","13","13"
"9","0.20944455371011483","0.20944455371011483","0.20944455371011483","14","14","14","0.22623171349972437","0.22623171349972437","0.22623171349972437","14","14","14","0.2418992628946024","0.2418992628946024","0.2418992628946024","13","13","13","0.2477127950952714","0.2477127950952714","0.2477127950952714","14","14","14","0.2535597357749939","0.2535597357749939","0.2535597357749939","14","14","14"
"10","0.2021169429719714","0.2021169429719714","0.2021169429719714","15","15","15","0.2204431113375898","0.2204431113375898","0.2204431113375898","15","15","15","0.23398211279654885","0.23398211279654885","0.23398211279654885","14","14","14","0.24568665195181666","0.24568665195181666","0.24568665195181666","15","15","15","0.2521440668106079","0.2521440668106079","0.2521440668106079","15","15","15"
"11","0.19497661134369346","0.19497661134369346","0.19497661134369346","16","16","16","0.21486957531488152","0.21486957531488152","0.21486957531488152","16","16","16","0.23035763255893227","0.23035763255893227","0.23035763255893227","15","15","15","0.2402785029037889","0.2402785029037889","0.2402785029037889","16","16","16","0.24849872136116027","0.24849872136116027","0.24849872136116027","16","16","16"
"12","0.18906220081233213","0.18906220081233213","0.18906220081233213","17","17","17","0.2085171595191879","0.2085171595191879","0.2085171595191879","17","17","17","0.22458177187385406","0.22458177187385406","0.22458177187385406","16","16","16","0.2419235566892777","0.2419235566892777","0.2419235566892777","17","17","17","0.24595344376564027","0.24595344376564027","0.24595344376564027","17","17","17"
"13","0.1839580988107676","0.1839580988107676","0.1839580988107676","18","18","18","0.20382704218643244","0.20382704218643244","0.20382704218643244","18","18","18","0.22144577309568936","0.22144577309568936","0.22144577309568936","17","17","17","0.23439229216920324","0.23439229216920324","0.23439229216920324","18","18","18","0.2401141039133072","0.2401141039133072","0.2401141039133072","18","18","18"
"14","0.18311136542261977","0.18311136542261977","0.18311136542261977","19","19","19","0.20152551691566578","0.20152551691566578","0.20152551691566578","19","19","19","0.21922583619062913","0.21922583619062913","0.21922583619062913","18","18","18","0.2277218919681258","0.2277218919681258","0.2277218919681258","19","19","19","0.23553718030452728","0.23553718030452728","0.23553718030452728","19","19","19"
"15","0.18052007641433926","0.18052007641433926","0.18052007641433926","20","20","20","0.2022849496687205","0.2022849496687205","0.2022849496687205","20","20","20","0.21773430458045898","0.21773430458045898","0.21773430458045898","19","19","19","0.228444227013722","0.228444227013722","0.228444227013722","20","20","20","0.23363552284240724","0.23363552284240724","0.23363552284240724","20","20","20"